Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  T         90.00 Comment        
C3         C0603             5096.969mil   1618.937mil   5096.969mil   1618.937mil   5070.197mil   1618.937mil  T        360.00 100nF          
C1         C0805             5110.969mil   1766.638mil   5110.969mil   1766.937mil   5110.969mil   1804.339mil  T        270.00 10uF           
FID2       FIDUCIAL-2X3-PANEL   5925.969mil   1295.937mil   5925.969mil   1295.937mil   5925.969mil   1295.937mil  T         45.00 FIDUCIAL       
FID1       FIDUCIAL-2X3-PANEL   4362.969mil   1067.937mil   4362.969mil   1067.937mil   4362.969mil   1067.937mil  T         45.00 FIDUCIAL       
J2         644456-2          4765.624mil    646.864mil   4784.236mil    616.327mil   4790.624mil    603.562mil  T        120.00 644456-2       
R5         R0805             5205.024mil    518.866mil   5205.024mil    518.866mil   5168.606mil    518.866mil  T          0.00 2.7K           
R4         R0805             5205.024mil    593.866mil   5205.024mil    593.866mil   5168.606mil    593.866mil  T          0.00 4.7K           
R3         R0805              5421.48mil    506.366mil    5421.48mil    506.366mil    5421.48mil    469.949mil  T         90.00 470            
R2         R0805              5079.48mil    518.866mil    5079.48mil    518.866mil   5043.063mil    518.866mil  T        360.00 2.7K           
R1         R0805              5079.48mil    593.866mil    5079.48mil    593.866mil   5043.063mil    593.866mil  T        360.00 4.7K           
J1         644456-2          4617.624mil    901.864mil   4636.236mil    871.327mil   4642.624mil    858.562mil  T        120.00 644456-2       
C2         C0603             5597.969mil   1587.937mil   5597.969mil   1587.937mil   5571.197mil   1587.937mil  T        360.00 100nF          
C6         C0603             5597.969mil   1651.937mil   5597.969mil   1651.937mil   5571.197mil   1651.937mil  T        360.00 100nF          
Q1         SOT23-3           5257.779mil   1763.681mil    5257.48mil   1761.366mil   5220.078mil   1721.996mil  T        360.00 BSN20BKR       
Q2         SOT23-3           5246.654mil   1498.236mil   5248.969mil   1497.937mil   5288.339mil   1460.535mil  T         90.00 BSN20BKR       
Q3         SOT23-3           5399.779mil   1768.681mil    5399.48mil   1766.366mil   5362.078mil   1726.996mil  T        360.00 BSN20BKR       
R10        R0603             5276.477mil   1869.363mil    5276.48mil   1869.366mil   5303.249mil   1869.363mil  T        180.00 1K             
R6         R0603             5345.477mil   1533.798mil    5345.48mil   1533.795mil   5345.477mil   1507.027mil  T         90.00 1K             
R7         R0603             5233.477mil   1661.338mil    5233.48mil   1661.341mil   5260.249mil   1661.338mil  T        180.00 1K             
R8         R0603             5232.965mil   1594.934mil   5232.969mil   1594.937mil   5259.737mil   1594.934mil  T        180.00 1K             
R9         R0603             5193.477mil   1853.369mil    5193.48mil   1853.366mil   5193.477mil   1826.598mil  T         90.00 1K             
C7         C0805             5101.969mil   1499.638mil   5101.969mil   1499.937mil   5101.969mil   1537.339mil  T        270.00 10uF           
C8         C0603             4901.969mil   1347.937mil   4901.969mil   1347.937mil   4875.197mil   1347.937mil  T        360.00 22uF           
U3         SOT89-150P347X160-3L   5013.197mil   1477.524mil   4954.142mil   1477.524mil   5011.228mil   1418.468mil  T        180.00 AZ1117CR-3.3TRG1
R11        R0603             5406.965mil   1607.369mil   5406.969mil   1607.366mil   5406.965mil   1580.598mil  T         90.00 1K             
R12        R0603             5406.965mil   1502.369mil   5406.969mil   1502.366mil   5406.965mil   1475.598mil  T         90.00 R0603TBD       
U1         LGA12C50P4X4_200X200X100   5490.968mil   1597.937mil   5490.969mil   1597.937mil   5461.441mil   1626.992mil  T          0.00 IIS2DHTR       
Hole1      Hole_Hole(Primary)   6715.606mil   1424.866mil   6715.606mil   1424.866mil   6715.606mil   1424.866mil  T          0.00                
Hole2      Hole_Hole_1(Primary)   7943.606mil   1424.866mil   7943.606mil   1424.866mil   7943.606mil   1424.866mil  T          0.00                
Hole3      Hole_Hole_2(Primary)   7329.606mil    361.866mil   7329.606mil    361.866mil   7329.606mil    361.866mil  T          0.00                
Pad9       PAD               6847.606mil   1201.866mil   6847.606mil   1201.866mil   6847.606mil   1201.866mil  T          0.00                
Pad10      PAD               7813.606mil   1201.866mil   7813.606mil   1201.866mil   7813.606mil   1201.866mil  T          0.00                
Pad11      PAD_0.1-HOTEND    7329.606mil   1070.866mil   7329.606mil   1070.866mil   7329.606mil   1070.866mil  T          0.00                
Pad12      Pad_0.1_-_oct     7185.606mil    349.866mil   7185.606mil    349.866mil   7185.606mil    349.866mil  T          0.00                
Pad13      PAD               7473.606mil    349.866mil   7473.606mil    349.866mil   7473.606mil    349.866mil  T          0.00                
LED4       LED1206           8059.488mil      530.4mil   8059.488mil      530.4mil   8027.992mil    475.847mil  T        240.00 APT3216SURCK   
LED3       LED1206           6604.488mil      531.4mil   6604.488mil      531.4mil   6635.984mil    476.847mil  T        300.00 APT3216SURCK   
LED2       LED1206           8162.488mil      708.4mil   8162.488mil      708.4mil   8130.992mil    653.847mil  T        240.00 APT3216VBC/D   
LED1       LED1206           6502.488mil      711.4mil   6502.488mil      711.4mil   6533.984mil    656.847mil  T        300.00 APT3216VBC/D   
J3         1778612           7902.669mil    734.292mil   7902.669mil    734.292mil   7730.425mil    435.957mil  T         60.00 1778612        
U2         SOT89-150P347X160-3L   7138.496mil   1678.508mil   7079.441mil   1678.508mil   7136.528mil   1619.453mil  T        180.00 L78L05ABUTR    
C3         C0603             7222.953mil   1618.937mil   7222.953mil   1618.937mil   7196.181mil   1618.937mil  T        360.00 100nF          
C1         C0805             7236.953mil   1766.638mil   7236.953mil   1766.937mil   7236.953mil   1804.339mil  T        270.00 10uF           
FID2       FIDUCIAL-2X3-PANEL   8051.953mil   1295.937mil   8051.953mil   1295.937mil   8051.953mil   1295.937mil  T         45.00 FIDUCIAL       
FID1       FIDUCIAL-2X3-PANEL   6488.953mil   1067.937mil   6488.953mil   1067.937mil   6488.953mil   1067.937mil  T         45.00 FIDUCIAL       
J2         644456-2          6891.608mil    646.864mil   6910.221mil    616.327mil   6916.608mil    603.562mil  T        120.00 644456-2       
